# Time-averaged data for fix printcond
# TimeStep v_totalcondx v_totalcondy v_totalcondz
0 0.00323846 6.83455e-05 -0.00482199
2 0.00343797 -1.23276e-05 -0.00478144
4 0.00363752 -0.00011418 -0.00468594
6 0.00381853 -0.000241851 -0.0045727
8 0.00397424 -0.000380976 -0.00444566
10 0.00410072 -0.000512149 -0.00430052
12 0.00419319 -0.000618961 -0.00413644
14 0.00424884 -0.000688917 -0.00395457
16 0.00427037 -0.00071548 -0.0037578
18 0.00426658 -0.000699104 -0.00355132
20 0.00424946 -0.000646571 -0.00334213
22 0.00422958 -0.000568938 -0.00313771
24 0.00421384 -0.000479168 -0.00294476
26 0.00420664 -0.000391531 -0.00276998
28 0.0042122 -0.000321931 -0.00262307
30 0.00423649 -0.000288415 -0.00252387
32 0.00428734 -0.000310377 -0.00250841
34 0.00437331 -0.000404221 -0.00261983
36 0.00449922 -0.000575739 -0.00287137
38 0.00466164 -0.000816622 -0.00322632
40 0.00484997 -0.00110867 -0.00362689
42 0.00505011 -0.00143034 -0.00402345
44 0.00524741 -0.00176277 -0.00437791
46 0.00542956 -0.00209446 -0.00466059
48 0.00558907 -0.00242279 -0.00485262
50 0.00572285 -0.00275 -0.00495182
52 0.00582958 -0.00307405 -0.00497324
54 0.00590623 -0.00338064 -0.00494057
56 0.00594874 -0.00364432 -0.0048736
58 0.00596001 -0.00383901 -0.00477492
60 0.00594525 -0.00394604 -0.00463744
62 0.00590628 -0.00396246 -0.00446885
64 0.00584355 -0.00389559 -0.0042898
66 0.00576546 -0.00375521 -0.00411659
68 0.00568534 -0.00355229 -0.00395817
70 0.00561273 -0.00329865 -0.00381771
72 0.00554972 -0.00300775 -0.00369338
74 0.00549231 -0.00269597 -0.0035789
76 0.00543342 -0.00238246 -0.00346537
78 0.00536554 -0.00208687 -0.00334427
80 0.00528107 -0.00182507 -0.00321038
82 0.00517282 -0.00160519 -0.00306525
84 0.00503485 -0.00142585 -0.00291796
86 0.00486331 -0.00127779 -0.00278242
88 0.00465743 -0.00114805 -0.00267122
90 0.00441954 -0.00102386 -0.00259164
92 0.00415507 -0.000895564 -0.00254543
94 0.00387547 -0.00075865 -0.00253178
96 0.00359251 -0.000616624 -0.00254759
98 0.00331932 -0.000481527 -0.00258794
100 0.00306876 -0.000370652 -0.00264622
102 0.00285119 -0.000298722 -0.00271423
104 0.00267202 -0.000271213 -0.00278288
106 0.00253114 -0.000284117 -0.00284444
