Box size: max: 28.496098 min: 3.5039283 in Ang
Timestep: 0.5
T: 673
Chunk 1 of size 2ps
Start time: 2.0ps
Lag    Lag (in ps)     Auto-correlation     Integral(acf)        Conductivity
0      0.0          8.450024806413139e-05    0.0    0.0
2      0.001          8.443385919670735e-05    8.446705363041938e-05    0.049823549139389
4      0.002          8.422183987129686e-05    0.00016879490316442148    0.0995649876588362
6      0.003          8.387467975112876e-05    0.0002528431629756343    0.14914150800375808
8      0.004          8.340742268499114e-05    0.0003364842141936942    0.19847783318998882
10      0.005          8.283771961309405e-05    0.0004196067853427368    0.24750832887126833
12      0.006          8.21840625326758e-05    0.0005021176764156217    0.29617802029784546
14      0.007          8.146442028936895e-05    0.000583941917826644    0.3444426860759723
16      0.008          8.069523898058916e-05    0.0006650217474616232    0.39226825477293514
18      0.009          7.989074987604035e-05    0.000745314741889938    0.4396297025979262
20      0.01          7.906258299359024e-05    0.0008247914083247533    0.4865096330010365
22      0.011          7.821967230117623e-05    0.0009034325359721365    0.5328967143459137
24      0.012          7.736841880926919e-05    0.0009812265815273592    0.5787841377244016
26      0.013          7.651304892159925e-05    0.0010581673153927935    0.6241682285598438
28      0.014          7.565608205711467e-05    0.0011342518808821504    0.669047301813594
30      0.015          7.479879581639257e-05    0.001209479319818904    0.7134207922977691
32      0.016          7.39416128041073e-05    0.0012838495241291538    0.7572886362641378
34      0.017          7.308437403759051e-05    0.0013573625175500028    0.8006508477142149
36      0.018          7.222654217929774e-05    0.001430017975658447    0.8435072352845661
38      0.019          7.13673908398056e-05    0.0015018149421679988    0.885857234902162
40      0.02          7.050619353182755e-05    0.0015727517343538154    0.9276998539986547
42      0.021          6.964236165551812e-05    0.0016428260119474884    0.969033712148505
44      0.022          6.877556809872973e-05    0.0017120349768246124    1.0098571588562497
46      0.023          6.790587074461695e-05    0.0017803756962462857    1.050168464223017
48      0.024          6.703380279894477e-05    0.0018478455330180662    1.089966072679135
50      0.025          6.616034721915465e-05    0.001914442608027116    1.1292488758152681
52      0.026          6.528679306846264e-05    0.0019801661781709244    1.1680164353066156
54      0.027          6.44145419426746e-05    0.002045016845676493    1.2062691063814623
56      0.028          6.354495090499892e-05    0.00210899659210033    1.2440080578763408
58      0.029          6.267926200260897e-05    0.0021721086985541337    1.2812352251805288
60      0.03          6.181860366178561e-05    0.002234357631386331    1.3179532428044154
62      0.031          6.096402753334107e-05    0.0022957489469838943    1.354165388226111
64      0.032          6.011654851135238e-05    0.002356289235006241    1.389875548407523
66      0.033          5.9277189144681114e-05    0.0024159861038342578    1.4250882112113452
68      0.034          5.844699516184419e-05    0.0024748481959875205    1.4598084744950306
70      0.035          5.7627042932779004e-05    0.002532885215034832    1.494042061984177
72      0.036          5.681844552031327e-05    0.002590107959261378    1.5277953431313633
74      0.037          5.6022414600932606e-05    0.0026465283893220013    1.561075373021959
76      0.038          5.5240352250685116e-05    0.00270215977274781    1.5938899776124735
78      0.039          5.4473899505788815e-05    0.002757016898626047    1.6262478803611455
80      0.04          5.372482570093726e-05    0.00281111626122941    1.6581588105431302
82      0.041          5.299472718791113e-05    0.002864476037673834    1.6896334900717664
84      0.042          5.228468735812264e-05    0.002917115744946851    1.7206834311940846
86      0.043          5.1595103008390646e-05    0.0029690556401301073    1.7513205827073905
88      0.044          5.092564259084928e-05    0.003020316012929727    1.7815569126527915
90      0.045          5.027528499272424e-05    0.0030709164767215138    1.8114039901326913
92      0.046          4.9642362851396245e-05    0.003120875300643574    1.8408725913404218
94      0.047          4.9024664269445504e-05    0.0031702088142039945    1.8699723483634507
96      0.048          4.841968812583378e-05    0.0032189309904016358    1.898711503283931
98      0.049          4.7824900971651453e-05    0.003267053284950378    1.9270968133438755
100      0.05          4.723785319863226e-05    0.00331458466203552    1.9551335661377662
102      0.051          4.6656177374446696e-05    0.003361531677322059    1.982825628575637
104      0.052          4.6077612913135636e-05    0.0034078985724658502    2.010175502631213
106      0.053          4.5500071018997515e-05    0.0034536874144319167    2.037184407519905
108      0.054          4.492177822313846e-05    0.0034988983390529848    2.0638524233637034
110      0.055          4.434144977647569e-05    0.0035435299530527918    2.090178728327759
112      0.056          4.3758434570725695e-05    0.0035875798952263926    2.1161619296369523
114      0.057          4.3172775738023845e-05    0.0036310455003807675    2.141800455206434
116      0.058          4.258520014972335e-05    0.003673924488324641    2.1670929600476287
118      0.059          4.1997057751350405e-05    0.0037162156172751777    2.192038711685264
120      0.06          4.141023945705602e-05    0.0037579192658793808    2.2166379334672235
